domain,price,registrar,expiration_date,purchase_price
1odd.com,120$,Spaceship,2026-11-08,
abcmedicals.com,680$,Gname,2027-02-23,16.00$
abisKitchen.com,780$,NameBright,2027-02-01,3$
acamil.com,980$,Unstoppable,2027-04-17,8$
acamil.info,399$,Unstoppable,2027-04-17,0$
acamil.link,399$,Unstoppable,2027-04-17,0$
acceleratematrix.com,99$,Unstoppable,2026-11-21,5$
acumenagentic.com,9800$,Unstoppable,2026-11-14,5$
acumenbase.com,9800$,Unstoppable,2026-11-14,5$
adampolis.com,1299$,Gname,2027-04-26,16$
agyntai.com,2999$,Unstoppable,2026-12-19,6$
agyntqia.com,3920$,Unstoppable,2026-12-19,6$
aicabby.com,99$,Gname,2027-01-07,26.00$
aicodyn.com,2890$,Unstoppable,2026-11-28,5$
aicorellm.com,99$,Unstoppable,2027-03-06,5.99
aigrey.com,2890$,Gname,2027-05-01,66$
AiLinkFlow.com,349$,Spaceship,2027-01-11,3$
ailoopy.com,99$,Gname,2027-01-07,26.00$
aimindllm.com,99$,Unstoppable,2027-03-06,5.99
aiplaner.com,199$,Gname,2027-03-31,16$
aiprefab.com,1980$,Gname,2027-03-09,16.00$
AiProduct.net,3980$,NameBright,2026-12-20,63$
airatravel.com,980$,Gname,2027-04-13,16$
aisolide.com,2288$,Unstoppable,2026-11-07,11$
aisynthly.com,1890$,Unstoppable,2026-12-19,11$
AiVoiceMachine.com,190$,NameBright,2027-01-06,21$
akxpay.com,3999$,Unstoppable,2027-03-06,5.99
alberthan.com,99$,NameBright,2027-03-01,
alell.com,2300$,NameBright,2026-12-10,21$
allocateclaw.com,2800$,Unstoppable,2027-04-24,8$
allocateclaw.info,399$,Unstoppable,2027-04-24,0$
allocateclaw.link,399$,Unstoppable,2027-04-24,0$
allurasolutions.com,199$,Unstoppable,2027-03-06,5.99
AlmasMetal.com,399$,NameBright,2027-02-14,
amplesolution.com,1199$,Gname,2027-02-25,16.00$
analyzelogic.com,99$,Unstoppable,2026-11-14,5$
ankametal.com,2099$,NameBright,2027-02-10,
AnoOne.com,99$,NameBright,2026-11-19,13$
answerlyai.com,4999$,Gname,2027-04-20,$26.00
antalyaklima.com,120$,Gname,2027-02-12,16.00$
aovpay.com,999$,Unstoppable,2026-12-06,5$
ApiFull.com,59$,NameBright,2027-02-06,21$
appartvacances.com,120$,Gname,2027-01-04,21$
appcreatorai.com,699$,NameBright,2027-01-11,19$
appscrolled.com,99$,Spaceship,2027-01-28,
AskAiAgent.com,1499$,NameBright,2027-03-05,
askyc.com,499$,Gname,2027-04-14,26$
asmetalas.com,780$,Spaceship,2027-02-15,
AstroTest.com,799$,NameBright,2027-01-10,134$
astuteagentic.com,9800$,Unstoppable,2026-11-14,5$
astutepilot.com,9800$,Unstoppable,2026-11-14,5$
asxpay.com,1999$,Unstoppable,2026-12-06,5$
austinmammo.com,199$,Spaceship,2026-12-20,3$
austinsloan.com,99$,NameBright,2027-03-01,
AutoFord.com,1499$,NameBright,2027-01-15,13$
autoKeysPro.com,499$,Gname,2027-02-19,11.50$
avapayment.com,999$,Spaceship,2026-11-15,9$
BagLux.com,7800$,NameBright,2026-12-26,280$
balancestable.com,99$,Unstoppable,2026-11-07,11$
baliXe.com,1099$,Gname,2027-01-28,13$
barbaMan.com,499$,NameBright,2026-11-23,13$
bclima.com,1499$,Gname,2027-05-04,16$
BEAUTYLINE.NET,3980$,NameBright,2026-12-20,78$
BeeViva.com,1999$,NameBright,2027-01-11,69$
